,tripId,deadline,inputs,action,reward
0,0,40,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 40, 'waypoint': 'left', 'left': None}",,0.0
1,0,39,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 39, 'waypoint': 'left', 'left': None}",forward,-1.0
2,0,38,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 38, 'waypoint': 'left', 'left': None}",left,-1.0
3,0,37,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 37, 'waypoint': 'left', 'left': None}",right,-0.5
4,0,36,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 36, 'waypoint': 'right', 'left': None}",,0.0
5,0,35,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 35, 'waypoint': 'right', 'left': None}",forward,-1.0
6,0,34,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 34, 'waypoint': 'right', 'left': None}",,0.0
7,0,33,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 33, 'waypoint': 'right', 'left': None}",forward,-0.5
8,0,32,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 32, 'waypoint': 'right', 'left': None}",left,-1.0
9,0,31,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 31, 'waypoint': 'right', 'left': None}",right,2.0
10,0,30,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 30, 'waypoint': 'forward', 'left': None}",,0.0
11,0,29,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 29, 'waypoint': 'forward', 'left': None}",forward,-1.0
12,0,28,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 28, 'waypoint': 'forward', 'left': None}",,0.0
13,0,27,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 27, 'waypoint': 'forward', 'left': None}",forward,12.0
14,1,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'right', 'left': None}",left,-0.5
15,1,29,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 29, 'waypoint': 'left', 'left': None}",,0.0
16,1,28,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 28, 'waypoint': 'left', 'left': None}",,0.0
17,1,27,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 27, 'waypoint': 'left', 'left': None}",,0.0
18,1,26,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 26, 'waypoint': 'left', 'left': 'forward'}",,0.0
19,1,25,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 25, 'waypoint': 'left', 'left': 'forward'}",forward,-0.5
20,1,24,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 24, 'waypoint': 'left', 'left': None}",,0.0
21,1,23,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 23, 'waypoint': 'left', 'left': None}",forward,-0.5
22,1,22,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 22, 'waypoint': 'left', 'left': None}",left,2.0
23,1,21,"{'right': None, 'light': 'red', 'oncoming': 'forward', 'deadline': 21, 'waypoint': 'forward', 'left': None}",,0.0
24,1,20,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 20, 'waypoint': 'forward', 'left': 'left'}",,0.0
25,1,19,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 19, 'waypoint': 'forward', 'left': 'left'}",forward,2.0
26,1,18,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 18, 'waypoint': 'forward', 'left': None}",forward,12.0
27,2,35,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 35, 'waypoint': 'right', 'left': None}",right,2.0
28,2,34,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 34, 'waypoint': 'right', 'left': None}",right,2.0
29,2,33,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 33, 'waypoint': 'forward', 'left': None}",left,-1.0
30,2,32,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 32, 'waypoint': 'forward', 'left': None}",right,-0.5
31,2,31,"{'right': 'left', 'light': 'green', 'oncoming': None, 'deadline': 31, 'waypoint': 'left', 'left': None}",left,2.0
32,2,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'forward', 'left': None}",forward,2.0
33,2,29,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 29, 'waypoint': 'forward', 'left': None}",forward,2.0
34,2,28,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 28, 'waypoint': 'forward', 'left': None}",,0.0
35,2,27,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 27, 'waypoint': 'forward', 'left': 'forward'}",,0.0
36,2,26,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 26, 'waypoint': 'forward', 'left': None}",,0.0
37,2,25,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 25, 'waypoint': 'forward', 'left': None}",forward,2.0
38,2,24,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 24, 'waypoint': 'right', 'left': None}",right,2.0
39,2,23,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 23, 'waypoint': 'forward', 'left': None}",forward,12.0
40,3,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'right', 'left': None}",right,2.0
41,3,29,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 29, 'waypoint': 'right', 'left': None}",right,2.0
42,3,28,"{'right': 'left', 'light': 'green', 'oncoming': None, 'deadline': 28, 'waypoint': 'forward', 'left': None}",forward,2.0
43,3,27,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 27, 'waypoint': 'forward', 'left': None}",,0.0
44,3,26,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 26, 'waypoint': 'forward', 'left': None}",,0.0
45,3,25,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 25, 'waypoint': 'forward', 'left': None}",forward,2.0
46,3,24,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 24, 'waypoint': 'left', 'left': None}",,0.0
47,3,23,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 23, 'waypoint': 'left', 'left': None}",,0.0
48,3,22,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 22, 'waypoint': 'left', 'left': None}",left,2.0
49,3,21,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 21, 'waypoint': 'forward', 'left': 'forward'}",forward,-1.0
50,3,20,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 20, 'waypoint': 'forward', 'left': None}",,0.0
51,3,19,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 19, 'waypoint': 'forward', 'left': None}",,0.0
52,3,18,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 18, 'waypoint': 'forward', 'left': None}",forward,12.0
53,4,35,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 35, 'waypoint': 'left', 'left': None}",,0.0
54,4,34,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 34, 'waypoint': 'left', 'left': None}",,0.0
55,4,33,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 33, 'waypoint': 'left', 'left': None}",,0.0
56,4,32,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 32, 'waypoint': 'left', 'left': None}",,0.0
57,4,31,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 31, 'waypoint': 'left', 'left': None}",,0.0
58,4,30,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 30, 'waypoint': 'left', 'left': None}",left,2.0
59,4,29,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 29, 'waypoint': 'forward', 'left': None}",forward,2.0
60,4,28,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 28, 'waypoint': 'left', 'left': None}",,0.0
61,4,27,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 27, 'waypoint': 'left', 'left': None}",,0.0
62,4,26,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 26, 'waypoint': 'left', 'left': None}",,0.0
63,4,25,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 25, 'waypoint': 'left', 'left': None}",left,2.0
64,4,24,"{'right': None, 'light': 'green', 'oncoming': None, 'deadline': 24, 'waypoint': 'forward', 'left': None}",forward,2.0
65,4,23,"{'right': None, 'light': 'red', 'oncoming': None, 'deadline': 23, 'waypoint': 'forward', 'left': None}",,0.0
